x, y, yaw
-3.96332,0.136276,-0.00534058
-4.14913,0.14088,-0.00534058
-4.33493,0.145483,-0.00534058
-4.52074,0.150087,-0.00534058
-4.70654,0.154691,-0.00534058
-4.89235,0.159294,-0.00534058
-5.07815,0.163898,-0.00534058
-5.26396,0.168502,-0.00534058
-5.44976,0.173105,-0.00534058
-5.63557,0.177709,-0.00534058
-5.82138,0.182313,-0.00534058
-6.00718,0.186916,-0.00534058
-6.18819,0.247655,-0.00498546
-6.36921,0.308393,-0.00463035
-6.55022,0.369132,-0.00427524
-6.73123,0.429871,-0.00392012
-6.91224,0.490609,-0.00356501
-7.09325,0.551348,-0.00320989
-7.27427,0.612086,-0.00285478
-7.45528,0.672825,-0.00249967
-7.63629,0.733563,-0.00214455
-7.8173,0.794302,-0.00178944
-7.99832,0.85504,-0.00143433
-8.27156,0.868391,-0.00143433
-8.54481,0.881742,-0.00143433
-8.81806,0.895093,-0.00143433
-9.09131,0.908444,-0.00143433
-9.36456,0.921795,-0.00143433
-9.63781,0.935146,-0.00143433
-9.91106,0.948497,-0.00143433
-10.1843,0.961848,-0.00143433
-10.4576,0.975199,-0.00143433
-10.7308,0.98855,-0.00143433
-11.0041,1.0019,-0.00143433
-11.2726,1.00171,-0.0010765
-11.5411,1.00152,-0.00071868
-11.8097,1.00133,-0.000360857
-12.0782,1.00114,-3.03459e-06
-12.3468,1.00094,0.000354788
-12.6153,1.00075,0.000712611
-12.8839,1.00056,0.00107043
-13.1524,1.00037,0.00142826
-13.421,1.00018,0.00178608
-13.6895,0.999989,0.0021439
-13.9581,0.999797,0.00250173
-14.2339,1.0198,0.00178879
-14.5098,1.0398,0.00107585
-14.7857,1.05981,0.000362916
-15.0615,1.07981,-0.00035002
-15.3374,1.09981,-0.00106296
-15.6132,1.11981,-0.00177589
-15.8891,1.13982,-0.00248883
-16.165,1.15982,-0.00320177
-16.4408,1.17982,-0.0039147
-16.7167,1.19983,-0.00462764
-16.9926,1.21983,-0.00534058
-17.1719,1.20757,-0.00534058
-17.3512,1.1953,-0.00534058
-17.5306,1.18304,-0.00534058
-17.7099,1.17078,-0.00534058
-17.8893,1.15851,-0.00534058
-18.0686,1.14625,-0.00534058
-18.2479,1.13398,-0.00534058
-18.4273,1.12172,-0.00534058
-18.6066,1.10946,-0.00534058
-18.7859,1.09719,-0.00534058
-18.9653,1.08493,-0.00534058
-19.0849,1.08339,-0.00534058
-19.2046,1.08185,-0.00534058
-19.3242,1.08032,-0.00534058
-19.4438,1.07878,-0.00534058
-19.5635,1.07724,-0.00534058
-19.6831,1.0757,-0.00534058
-19.8027,1.07417,-0.00534058
-19.9224,1.07263,-0.00534058
-20.042,1.07109,-0.00534058
-20.1617,1.06955,-0.00534058
-20.2813,1.06801,-0.00534058
-20.3469,1.12559,-0.00462764
-20.4126,1.18316,-0.0039147
-20.4782,1.24074,-0.00320177
-20.5438,1.29831,-0.00248883
-20.6095,1.35589,-0.00177589
-20.6751,1.41346,-0.00106296
-20.7407,1.47104,-0.00035002
-20.8064,1.52861,0.000362916
-20.872,1.58619,0.00107585
-20.9376,1.64376,0.00178879
-21.0033,1.70134,0.00250173
-21.048,1.78292,0.00179434
-21.0926,1.86449,0.00108695
-21.1373,1.94607,0.000379562
-21.182,2.02765,-0.000327826
-21.2267,2.10923,-0.00103521
-21.2714,2.19081,-0.0017426
-21.3161,2.27239,-0.00244999
-21.3607,2.35397,-0.00315738
-21.4054,2.43555,-0.00386477
-21.4501,2.51713,-0.00457215
-21.4948,2.59871,-0.00527954
-21.4916,2.78946,-0.00528509
-21.4885,2.98021,-0.00529064
-21.4853,3.17096,-0.00529619
-21.4822,3.36171,-0.00530174
-21.479,3.55246,-0.00530728
-21.4759,3.74321,-0.00531283
-21.4727,3.93396,-0.00531838
-21.4696,4.12471,-0.00532393
-21.4664,4.31547,-0.00532948
-21.4633,4.50622,-0.00533503
-21.4601,4.69697,-0.00534058
-21.4003,4.81393,-0.00533503
-21.3405,4.93089,-0.00532948
-21.2807,5.04785,-0.00532393
-21.2209,5.16481,-0.00531838
-21.1612,5.28177,-0.00531283
-21.1014,5.39873,-0.00530728
-21.0416,5.51569,-0.00530174
-20.9818,5.63265,-0.00529619
-20.922,5.74962,-0.00529064
-20.8622,5.86658,-0.00528509
-20.8024,5.98354,-0.00527954
-20.726,5.9836,-0.00527954
-20.6496,5.98366,-0.00527954
-20.5732,5.98372,-0.00527954
-20.4968,5.98379,-0.00527954
-20.4204,5.98385,-0.00527954
-20.344,5.98391,-0.00527954
-20.2676,5.98397,-0.00527954
-20.1912,5.98403,-0.00527954
-20.1148,5.9841,-0.00527954
-20.0384,5.98416,-0.00527954
-19.962,5.98422,-0.00527954
-19.6895,5.98919,-0.00527954
-19.4169,5.99417,-0.00527954
-19.1443,5.99914,-0.00527954
-18.8718,6.00412,-0.00527954
-18.5992,6.0091,-0.00527954
-18.3266,6.01407,-0.00527954
-18.054,6.01905,-0.00527954
-17.7815,6.02402,-0.00527954
-17.5089,6.029,-0.00527954
-17.2363,6.03397,-0.00527954
-16.9637,6.03895,-0.00527954
-16.6938,6.00899,-0.00528509
-16.4239,5.97904,-0.00529064
-16.1539,5.94908,-0.00529619
-15.884,5.91912,-0.00530174
-15.614,5.88917,-0.00530728
-15.3441,5.85921,-0.00531283
-15.0741,5.82926,-0.00531838
-14.8042,5.7993,-0.00532393
-14.5342,5.76935,-0.00532948
-14.2643,5.73939,-0.00533503
-13.9943,5.70943,-0.00534058
-13.7218,5.67457,-0.00498546
-13.4492,5.63971,-0.00463035
-13.1767,5.60485,-0.00427524
-12.9042,5.56999,-0.00392012
-12.6316,5.53513,-0.00356501
-12.3591,5.50027,-0.00320989
-12.0866,5.46541,-0.00285478
-11.814,5.43055,-0.00249967
-11.5415,5.39569,-0.00214455
-11.269,5.36083,-0.00178944
-10.9964,5.32597,-0.00143433
-10.8144,5.32825,-0.00143433
-10.6323,5.33052,-0.00143433
-10.4502,5.33279,-0.00143433
-10.2681,5.33506,-0.00143433
-10.086,5.33733,-0.00143433
-9.90396,5.33961,-0.00143433
-9.72188,5.34188,-0.00143433
-9.53979,5.34415,-0.00143433
-9.35771,5.34642,-0.00143433
-9.17563,5.34869,-0.00143433
-8.99355,5.35097,-0.00143433
-8.81464,5.31346,-0.00178944
-8.63574,5.27596,-0.00214455
-8.45683,5.23845,-0.00249967
-8.27792,5.20095,-0.00285478
-8.09902,5.16344,-0.00320989
-7.92011,5.12594,-0.00356501
-7.7412,5.08843,-0.00392012
-7.5623,5.05093,-0.00427524
-7.38339,5.01342,-0.00463035
-7.20448,4.97592,-0.00498546
-7.02557,4.93841,-0.00534058
-6.84365,4.92069,-0.00534058
-6.66172,4.90298,-0.00534058
-6.4798,4.88526,-0.00534058
-6.29788,4.86754,-0.00534058
-6.11595,4.84983,-0.00534058
-5.93403,4.83211,-0.00534058
-5.7521,4.81439,-0.00534058
-5.57018,4.79667,-0.00534058
-5.38825,4.77896,-0.00534058
-5.20633,4.76124,-0.00534058
-5.0244,4.74352,-0.00534058
-4.89256,4.73465,-0.00534058
-4.76073,4.72578,-0.00534058
-4.62889,4.71691,-0.00534058
-4.49706,4.70804,-0.00534058
-4.36522,4.69918,-0.00534058
-4.23338,4.69031,-0.00534058
-4.10155,4.68144,-0.00534058
-3.96971,4.67257,-0.00534058
-3.83788,4.6637,-0.00534058
-3.70604,4.65483,-0.00534058
-3.5742,4.64596,-0.00534058
-3.50677,4.59163,-0.00498546
-3.43934,4.53729,-0.00463035
-3.3719,4.48296,-0.00427524
-3.30447,4.42863,-0.00392012
-3.23703,4.3743,-0.00356501
-3.1696,4.31997,-0.00320989
-3.10217,4.26564,-0.00285478
-3.03473,4.21131,-0.00249967
-2.9673,4.15697,-0.00214455
-2.89986,4.10264,-0.00178944
-2.83243,4.04831,-0.00143433
-2.8244,3.92514,-0.00178944
-2.81636,3.80196,-0.00214455
-2.80833,3.67879,-0.00249967
-2.8003,3.55562,-0.00285478
-2.79226,3.43244,-0.00320989
-2.78423,3.30927,-0.00356501
