x, y, yaw
0.00873244,-0.633774,0.00439739
0.105434,-0.63071,0.00450732
0.202135,-0.627645,0.00461726
0.298837,-0.624581,0.00472719
0.395538,-0.621517,0.00483712
0.492239,-0.618452,0.00494706
0.588941,-0.615388,0.00505699
0.685642,-0.612323,0.00516692
0.782343,-0.609259,0.00527685
0.879045,-0.606195,0.00538679
0.975746,-0.60313,0.00549672
1.07245,-0.600066,0.00560665
1.16357,-0.612565,0.00538705
1.2547,-0.625064,0.00516744
1.34583,-0.637563,0.00494784
1.43695,-0.650062,0.00472823
1.52808,-0.662562,0.00450863
1.6192,-0.675061,0.00428902
1.71033,-0.68756,0.00406942
1.80146,-0.700059,0.00384981
1.89258,-0.712558,0.0036302
1.98371,-0.725057,0.0034106
2.07484,-0.737556,0.00319099
2.16348,-0.742152,0.0031362
2.25213,-0.746748,0.00308141
2.34077,-0.751344,0.00302662
2.42942,-0.755939,0.00297182
2.51807,-0.760535,0.00291703
2.60671,-0.765131,0.00286224
2.69536,-0.769727,0.00280744
2.784,-0.774322,0.00275265
2.87265,-0.778918,0.00269786
2.9613,-0.783514,0.00264307
3.04994,-0.78811,0.00258827
3.14139,-0.787554,0.00264315
3.23283,-0.786999,0.00269803
3.32428,-0.786443,0.00275291
3.41572,-0.785888,0.00280779
3.50717,-0.785332,0.00286267
3.59861,-0.784777,0.00291755
3.69006,-0.784221,0.00297243
3.7815,-0.783666,0.00302731
3.87295,-0.78311,0.00308219
3.96439,-0.782555,0.00313707
4.05584,-0.781999,0.00319195
4.14968,-0.789322,0.00308245
4.24352,-0.796644,0.00297295
4.33736,-0.803967,0.00286345
4.4312,-0.811289,0.00275395
4.52504,-0.818612,0.00264445
4.61887,-0.825934,0.00253495
4.71271,-0.833257,0.00242545
4.80655,-0.84058,0.00231595
4.90039,-0.847902,0.00220646
4.99423,-0.855225,0.00209696
5.08807,-0.862547,0.00198746
5.17885,-0.877619,0.00225561
5.26963,-0.892691,0.00252377
5.36041,-0.907763,0.00279192
5.45119,-0.922835,0.00306008
5.54197,-0.937907,0.00332824
5.63274,-0.952979,0.00359639
5.72352,-0.968051,0.00386455
5.8143,-0.983123,0.0041327
5.90508,-0.998194,0.00440086
5.99586,-1.01327,0.00466902
6.08664,-1.02834,0.00493717
6.17155,-1.04207,0.00463989
6.25646,-1.05579,0.0043426
6.34137,-1.06952,0.00404531
6.42628,-1.08325,0.00374803
