x, y, yaw
0.00577897,-0.648573,0.00247192
0.0976477,-0.648958,0.00247192
0.189516,-0.649342,0.00247192
0.281385,-0.649727,0.00247192
0.373254,-0.650111,0.00247192
0.465122,-0.650496,0.00247192
0.556991,-0.65088,0.00247192
0.64886,-0.651265,0.00247192
0.740728,-0.651649,0.00247192
0.832597,-0.652034,0.00247192
0.924466,-0.652418,0.00247192
1.01633,-0.652803,0.00247192
1.19523,-0.651013,0.00247192
1.37412,-0.649222,0.00247192
1.55301,-0.647432,0.00247192
1.7319,-0.645642,0.00247192
1.91079,-0.643851,0.00247192
2.08968,-0.642061,0.00247192
2.26858,-0.640271,0.00247192
2.44747,-0.638481,0.00247192
2.62636,-0.63669,0.00247192
2.80525,-0.6349,0.00247192
2.98414,-0.63311,0.00247192
3.1663,-0.630338,0.00176725
3.34846,-0.627567,0.00106257
3.53062,-0.624795,0.000357888
3.71279,-0.622024,-0.000346791
3.89495,-0.619252,-0.00105147
4.07711,-0.616481,-0.00175615
4.25927,-0.613709,-0.00246083
4.44143,-0.610938,-0.00316551
4.62359,-0.608167,-0.00387018
4.80575,-0.605395,-0.00457486
4.98791,-0.602624,-0.00527954
5.0759,-0.600438,-0.00457486
5.16388,-0.598253,-0.00387018
5.25187,-0.596067,-0.00316551
5.33985,-0.593882,-0.00246083
5.42784,-0.591696,-0.00175615
5.51583,-0.589511,-0.00105147
5.60381,-0.587326,-0.000346791
5.6918,-0.58514,0.000357888
5.77978,-0.582955,0.00106257
5.86777,-0.580769,0.00176725
5.95575,-0.578584,0.00247192
6.00909,-0.598524,0.00176725
6.06243,-0.618464,0.00106257
6.11577,-0.638404,0.000357888
6.16911,-0.658344,-0.000346791
6.22245,-0.678284,-0.00105147
6.27578,-0.698224,-0.00175615
6.32912,-0.718164,-0.00246083
6.38246,-0.738104,-0.00316551
6.4358,-0.758044,-0.00387018
6.48914,-0.777984,-0.00457486
6.54248,-0.797924,-0.00527954
6.59721,-0.8403,-0.00527954
6.65195,-0.882676,-0.00527954
6.70669,-0.925052,-0.00527954
6.76143,-0.967428,-0.00527954
6.81617,-1.0098,-0.00527954
6.8709,-1.05218,-0.00527954
6.92564,-1.09456,-0.00527954
6.98038,-1.13693,-0.00527954
7.03512,-1.17931,-0.00527954
7.08985,-1.22168,-0.00527954
7.14459,-1.26406,-0.00527954
7.16874,-1.34091,-0.00528509
7.19289,-1.41775,-0.00529064
7.21704,-1.4946,-0.00529619
7.24119,-1.57144,-0.00530174
7.26534,-1.64829,-0.00530728
7.2895,-1.72514,-0.00531283
7.31365,-1.80198,-0.00531838
7.3378,-1.87883,-0.00532393
7.36195,-1.95567,-0.00532948
7.3861,-2.03252,-0.00533503
7.41025,-2.10937,-0.00534058
7.4093,-2.19198,-0.00534058
7.40835,-2.27459,-0.00534058
7.4074,-2.3572,-0.00534058
7.40645,-2.43982,-0.00534058
7.4055,-2.52243,-0.00534058
7.40455,-2.60504,-0.00534058
7.40361,-2.68765,-0.00534058
7.40266,-2.77027,-0.00534058
7.40171,-2.85288,-0.00534058
7.40076,-2.93549,-0.00534058
7.39981,-3.0181,-0.00534058
7.36281,-3.10084,-0.00534058
7.32582,-3.18357,-0.00534058
7.28883,-3.26631,-0.00534058
7.25183,-3.34904,-0.00534058
7.21484,-3.43178,-0.00534058
7.17784,-3.51451,-0.00534058
7.14085,-3.59725,-0.00534058
7.10385,-3.67998,-0.00534058
7.06686,-3.76272,-0.00534058
7.02986,-3.84545,-0.00534058
6.99287,-3.92819,-0.00534058
6.90507,-3.97797,-0.00534058
6.81728,-4.02776,-0.00534058
