x, y, yaw
0.949904,0.868587,0.00247192
2.45137,0.894573,0.00247192
3.95284,0.920558,0.00247192
5.45431,0.946543,0.00247192
6.95579,0.972529,0.00247192
8.45726,0.998514,0.00247192
9.95873,1.0245,0.00247192
11.4602,1.05049,0.00247192
12.9617,1.07647,0.00247192
14.4631,1.10246,0.00247192
15.9646,1.12844,0.00247192
17.4661,1.15443,0.00247192
19.9559,1.15842,0.00247192
22.4458,1.16241,0.00247192
24.9356,1.1664,0.00247192
27.4255,1.17038,0.00247192
29.9153,1.17437,0.00247192
32.4052,1.17836,0.00247192
34.895,1.18235,0.00247192
37.3849,1.18634,0.00247192
39.8747,1.19033,0.00247192
42.3646,1.19432,0.00247192
44.8544,1.19831,0.00247192
45.1255,1.28998,0.00247192
45.3967,1.38165,0.00247192
45.6678,1.47332,0.00247192
45.9389,1.565,0.00247192
46.2101,1.65667,0.00247192
46.4812,1.74834,0.00247192
46.7523,1.84001,0.00247192
47.0235,1.93168,0.00247192
47.2946,2.02335,0.00247192
47.5657,2.11503,0.00247192
47.8369,2.2067,0.00247192
47.9192,2.34677,0.00247192
48.0016,2.48685,0.00247192
48.0839,2.62693,0.00247192
48.1662,2.767,0.00247192
48.2486,2.90708,0.00247192
48.3309,3.04715,0.00247192
48.4133,3.18723,0.00247192
48.4956,3.32731,0.00247192
48.5779,3.46738,0.00247192
48.6603,3.60746,0.00247192
48.7426,3.74754,0.00247192
48.7647,4.40739,0.00247192
48.7867,5.06724,0.00247192
48.8088,5.7271,0.00247192
48.8308,6.38695,0.00247192
48.8529,7.0468,0.00247192
48.8749,7.70665,0.00247192
48.897,8.36651,0.00247192
48.919,9.02636,0.00247192
48.9411,9.68621,0.00247192
48.9631,10.3461,0.00247192
48.9852,11.0059,0.00247192
48.9698,11.3833,0.00247192
48.9544,11.7606,0.00247192
48.939,12.138,0.00247192
48.9236,12.5154,0.00247192
48.9082,12.8927,0.00247192
48.8928,13.2701,0.00247192
48.8774,13.6475,0.00247192
48.862,14.0248,0.00247192
48.8466,14.4022,0.00247192
48.8312,14.7796,0.00247192
48.8158,15.1569,0.00247192
48.7676,15.3157,0.00211681
48.7193,15.4744,0.0017617
48.6711,15.6332,0.00140658
48.6228,15.7919,0.00105147
48.5746,15.9507,0.000696356
48.5263,16.1094,0.000341242
48.4781,16.2682,-1.38716e-05
48.4298,16.4269,-0.000368985
48.3816,16.5857,-0.000724099
48.3334,16.7445,-0.00107921
48.2851,16.9032,-0.00143433
48.2016,16.9876,-0.00143433
48.118,17.072,-0.00143433
48.0345,17.1565,-0.00143433
47.951,17.2409,-0.00143433
47.8674,17.3253,-0.00143433
47.7839,17.4097,-0.00143433
